DATE,TIMESTAMP,LOCATION,ENERGY_SOURCE,MEASURE,UNIT_OF_MEASURE,INTERVAL,VALUE
21.09.2021,21.09.2021 19:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1638
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1547
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1501
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 21:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1524
21.09.2021,21.09.2021 21:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 21:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1616
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 22:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1638
21.09.2021,21.09.2021 22:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
21.09.2021,21.09.2021 22:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 22:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1661
21.09.2021,21.09.2021 22:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 22:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 23:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1641
21.09.2021,21.09.2021 23:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2435
21.09.2021,21.09.2021 23:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 23:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1621
21.09.2021,21.09.2021 23:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2435
21.09.2021,21.09.2021 23:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 00:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1601
22.09.2021,22.09.2021 00:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2409
22.09.2021,22.09.2021 00:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 00:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 00:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2409
22.09.2021,22.09.2021 00:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 01:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 01:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2429
22.09.2021,22.09.2021 01:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 01:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 01:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2406
22.09.2021,22.09.2021 01:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 02:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 02:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2409
22.09.2021,22.09.2021 02:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1561
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2389
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 03:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1541
22.09.2021,22.09.2021 03:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2386
22.09.2021,22.09.2021 03:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 03:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1521
22.09.2021,22.09.2021 03:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2386
22.09.2021,22.09.2021 03:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 04:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1493
22.09.2021,22.09.2021 04:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2369
22.09.2021,22.09.2021 04:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 04:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1473
22.09.2021,22.09.2021 04:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2369
22.09.2021,22.09.2021 04:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 05:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1319
22.09.2021,22.09.2021 05:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2349
22.09.2021,22.09.2021 05:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 05:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 05:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1156
22.09.2021,22.09.2021 05:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2349
22.09.2021,22.09.2021 05:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 05:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 06:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1156
22.09.2021,22.09.2021 06:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2329
22.09.2021,22.09.2021 06:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 06:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 06:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1133
22.09.2021,22.09.2021 06:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2329
22.09.2021,22.09.2021 06:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 06:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 07:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,111
22.09.2021,22.09.2021 07:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2329
22.09.2021,22.09.2021 07:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 07:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 07:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,109
22.09.2021,22.09.2021 07:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2329
22.09.2021,22.09.2021 07:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 07:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 08:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1113
22.09.2021,22.09.2021 08:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2349
22.09.2021,22.09.2021 08:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 08:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
22.09.2021,22.09.2021 08:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1133
22.09.2021,22.09.2021 08:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2369
22.09.2021,22.09.2021 08:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 08:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
9.08.2021 ,9.08.2021 10:19,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2241
9.08.2021 ,9.08.2021 10:19,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2675
9.08.2021 ,9.08.2021 10:26,Atlantis waterpark,HVAC KN2,freq converter,%,S,80
9.08.2021 ,9.08.2021 10:28,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2272
9.08.2021 ,9.08.2021 10:35,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2706
9.08.2021 ,9.08.2021 10:41,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2301
9.08.2021 ,9.08.2021 10:46,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2729
9.08.2021 ,9.08.2021 10:53,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2752
9.08.2021 ,9.08.2021 10:53,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2278
9.08.2021 ,9.08.2021 10:55,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2775
9.08.2021 ,9.08.2021 10:56,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2304
9.08.2021 ,9.08.2021 10:58,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2326
9.08.2021 ,9.08.2021 11:00,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2797
9.08.2021 ,9.08.2021 11:02,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2349
9.08.2021 ,9.08.2021 11:10,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2375
9.08.2021 ,9.08.2021 11:12,Atlantis waterpark,HVAC KN2,Extract temp,C,S,282
9.08.2021 ,9.08.2021 11:13,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2398
9.08.2021 ,9.08.2021 11:20,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2426
9.08.2021 ,9.08.2021 11:24,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2403
9.08.2021 ,9.08.2021 11:24,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2843
9.08.2021 ,9.08.2021 11:28,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2429
9.08.2021 ,9.08.2021 11:33,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2452
9.08.2021 ,9.08.2021 11:34,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2866
9.08.2021 ,9.08.2021 11:34,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2429
9.08.2021 ,9.08.2021 11:36,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2452
9.08.2021 ,9.08.2021 11:37,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2889
9.08.2021 ,9.08.2021 11:43,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2912
9.08.2021 ,9.08.2021 11:43,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2478
9.08.2021 ,9.08.2021 11:46,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2934
9.08.2021 ,9.08.2021 11:49,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2455
9.08.2021 ,9.08.2021 11:52,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2912
9.08.2021 ,9.08.2021 11:52,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2432
9.08.2021 ,9.08.2021 11:57,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2455
9.08.2021 ,9.08.2021 11:58,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2889
9.08.2021 ,9.08.2021 12:01,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2478
9.08.2021 ,9.08.2021 12:02,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2914
9.08.2021 ,9.08.2021 12:10,Atlantis waterpark,HVAC KN2,Supply temp,C,S,25
9.08.2021 ,9.08.2021 12:11,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2523
9.08.2021 ,9.08.2021 12:13,Atlantis waterpark,HVAC KN2,Extract temp,C,S,294
9.08.2021 ,9.08.2021 12:18,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2963
9.08.2021 ,9.08.2021 12:21,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2989
9.08.2021 ,9.08.2021 12:23,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2498
9.08.2021 ,9.08.2021 12:23,Atlantis waterpark,HVAC KN2,Supply temp,C,S,252
9.08.2021 ,9.08.2021 12:24,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3011
9.08.2021 ,9.08.2021 12:29,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3034
9.08.2021 ,9.08.2021 12:31,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2543
9.08.2021 ,9.08.2021 12:32,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2566
9.08.2021 ,9.08.2021 12:34,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3011
9.08.2021 ,9.08.2021 12:40,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2989
9.08.2021 ,9.08.2021 12:42,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3011
9.08.2021 ,9.08.2021 12:44,Atlantis waterpark,HVAC KN2,Extract temp,C,S,304
9.08.2021 ,9.08.2021 12:44,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3017
9.08.2021 ,9.08.2021 12:45,Atlantis waterpark,HVAC KN2,Extract temp,C,S,304
9.08.2021 ,9.08.2021 12:46,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3017
9.08.2021 ,9.08.2021 12:50,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2991
9.08.2021 ,9.08.2021 12:58,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3014
9.08.2021 ,9.08.2021 13:02,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2589
9.08.2021 ,9.08.2021 13:06,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2566
9.08.2021 ,9.08.2021 13:10,Atlantis waterpark,HVAC KN2,Extract temp,C,S,304
9.08.2021 ,9.08.2021 13:11,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2589
9.08.2021 ,9.08.2021 13:12,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3066
9.08.2021 ,9.08.2021 13:15,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3043
9.08.2021 ,9.08.2021 13:16,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2566
9.08.2021 ,9.08.2021 13:17,Atlantis waterpark,HVAC KN2,Extract temp,C,S,302
9.08.2021 ,9.08.2021 13:20,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2997
9.08.2021 ,9.08.2021 13:23,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2589
9.08.2021 ,9.08.2021 13:26,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2612
9.08.2021 ,9.08.2021 13:26,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2977
9.08.2021 ,9.08.2021 13:28,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2635
9.08.2021 ,9.08.2021 13:30,Atlantis waterpark,HVAC KN2,Supply temp,C,S,266
9.08.2021 ,9.08.2021 13:32,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2637
9.08.2021 ,9.08.2021 13:35,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2612
9.08.2021 ,9.08.2021 13:38,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2637
9.08.2021 ,9.08.2021 13:41,Atlantis waterpark,HVAC KN2,Supply temp,C,S,266
9.08.2021 ,9.08.2021 13:42,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2997
9.08.2021 ,9.08.2021 13:42,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2974
9.08.2021 ,9.08.2021 13:43,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2637
9.08.2021 ,9.08.2021 13:46,Atlantis waterpark,HVAC KN2,Supply temp,C,S,266
9.08.2021 ,9.08.2021 13:53,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2683
9.08.2021 ,9.08.2021 13:56,Atlantis waterpark,HVAC KN2,Supply temp,C,S,266
9.08.2021 ,9.08.2021 13:57,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2637
9.08.2021 ,9.08.2021 14:02,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2951
9.08.2021 ,9.08.2021 14:03,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2615
9.08.2021 ,9.08.2021 14:06,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2637
9.08.2021 ,9.08.2021 14:11,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2929
9.08.2021 ,9.08.2021 14:11,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2951
9.08.2021 ,9.08.2021 14:13,Atlantis waterpark,HVAC KN2,Supply temp,C,S,266
9.08.2021 ,9.08.2021 14:16,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2974
9.08.2021 ,9.08.2021 14:18,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2997
9.08.2021 ,9.08.2021 14:20,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2686
9.08.2021 ,9.08.2021 14:22,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2663
9.08.2021 ,9.08.2021 14:23,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2974
9.08.2021 ,9.08.2021 14:30,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2706
9.08.2021 ,9.08.2021 14:36,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2726
9.08.2021 ,9.08.2021 14:39,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2994
9.08.2021 ,9.08.2021 14:44,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2703
9.08.2021 ,9.08.2021 14:52,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2735
9.08.2021 ,9.08.2021 14:56,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2766
9.08.2021 ,9.08.2021 14:57,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2969
9.08.2021 ,9.08.2021 15:09,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2792
9.08.2021 ,9.08.2021 15:09,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2769
9.08.2021 ,9.08.2021 15:11,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2792
9.08.2021 ,9.08.2021 15:13,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2814
9.08.2021 ,9.08.2021 15:13,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2989
9.08.2021 ,9.08.2021 15:16,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2792
9.08.2021 ,9.08.2021 15:19,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2769
9.08.2021 ,9.08.2021 15:25,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2792
9.08.2021 ,9.08.2021 15:36,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2769
9.08.2021 ,9.08.2021 15:43,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2792
9.08.2021 ,9.08.2021 15:43,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3017
9.08.2021 ,9.08.2021 15:45,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3037
9.08.2021 ,9.08.2021 15:50,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2769
9.08.2021 ,9.08.2021 15:54,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3057
9.08.2021 ,9.08.2021 15:58,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3088
9.08.2021 ,9.08.2021 16:01,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2794
9.08.2021 ,9.08.2021 16:01,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3066
9.08.2021 ,9.08.2021 16:06,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3046
9.08.2021 ,9.08.2021 16:11,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3066
9.08.2021 ,9.08.2021 16:18,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2772
9.08.2021 ,9.08.2021 16:20,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2794
9.08.2021 ,9.08.2021 16:22,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3046
9.08.2021 ,9.08.2021 16:26,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2772
9.08.2021 ,9.08.2021 16:30,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2794
9.08.2021 ,9.08.2021 16:32,Atlantis waterpark,HVAC KN2,Extract temp,C,S,302
9.08.2021 ,9.08.2021 16:35,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2814
9.08.2021 ,9.08.2021 16:43,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2997
9.08.2021 ,9.08.2021 16:44,Atlantis waterpark,HVAC KN2,Extract temp,C,S,302
9.08.2021 ,9.08.2021 16:56,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3043
9.08.2021 ,9.08.2021 17:03,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3066
9.08.2021 ,9.08.2021 17:05,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3043
9.08.2021 ,9.08.2021 17:11,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2792
9.08.2021 ,9.08.2021 17:12,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3066
9.08.2021 ,9.08.2021 17:19,Atlantis waterpark,HVAC KN2,Supply temp,C,S,282
9.08.2021 ,9.08.2021 17:33,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3043
9.08.2021 ,9.08.2021 17:35,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2797
9.08.2021 ,9.08.2021 17:46,Atlantis waterpark,HVAC KN2,Supply temp,C,S,282
9.08.2021 ,9.08.2021 17:48,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2794
9.08.2021 ,9.08.2021 17:52,Atlantis waterpark,HVAC KN2,Extract temp,C,S,302
9.08.2021 ,9.08.2021 17:55,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2823
9.08.2021 ,9.08.2021 17:58,Atlantis waterpark,HVAC KN2,Supply temp,C,S,28
9.08.2021 ,9.08.2021 18:01,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3046
9.08.2021 ,9.08.2021 18:09,Atlantis waterpark,HVAC KN2,Extract temp,C,S,302
9.08.2021 ,9.08.2021 18:17,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2826
9.08.2021 ,9.08.2021 18:19,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2997
9.08.2021 ,9.08.2021 18:23,Atlantis waterpark,HVAC KN2,Extract temp,C,S,302
9.08.2021 ,9.08.2021 18:29,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3046
9.08.2021 ,9.08.2021 18:32,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2803
9.08.2021 ,9.08.2021 18:44,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2777
9.08.2021 ,9.08.2021 18:47,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3023
9.08.2021 ,9.08.2021 18:49,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2803
9.08.2021 ,9.08.2021 18:56,Atlantis waterpark,HVAC KN2,Supply temp,C,S,278
9.08.2021 ,9.08.2021 18:58,Atlantis waterpark,HVAC KN2,Extract temp,C,S,30
9.08.2021 ,9.08.2021 19:06,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2974
9.08.2021 ,9.08.2021 19:12,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2951
9.08.2021 ,9.08.2021 19:23,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2926
9.08.2021 ,9.08.2021 19:23,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2757
9.08.2021 ,9.08.2021 19:24,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2786
9.08.2021 ,9.08.2021 19:26,Atlantis waterpark,HVAC KN2,Supply temp,C,S,276
9.08.2021 ,9.08.2021 19:42,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2735
9.08.2021 ,9.08.2021 19:46,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2757
9.08.2021 ,9.08.2021 19:49,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2735
9.08.2021 ,9.08.2021 19:52,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2897
9.08.2021 ,9.08.2021 19:52,Atlantis waterpark,HVAC KN2,Extract temp,C,S,292
9.08.2021 ,9.08.2021 19:53,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2894
9.08.2021 ,9.08.2021 20:09,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2874
9.08.2021 ,9.08.2021 20:10,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2709
9.08.2021 ,9.08.2021 20:12,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2735
9.08.2021 ,9.08.2021 20:12,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2712
9.08.2021 ,9.08.2021 20:16,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2689
9.08.2021 ,9.08.2021 20:20,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2666
9.08.2021 ,9.08.2021 20:24,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2646
9.08.2021 ,9.08.2021 20:27,Atlantis waterpark,HVAC KN2,Supply temp,C,S,262
9.08.2021 ,9.08.2021 20:30,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2598
9.08.2021 ,9.08.2021 20:38,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2846
9.08.2021 ,9.08.2021 20:39,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2575
9.08.2021 ,9.08.2021 20:46,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2552
9.08.2021 ,9.08.2021 20:51,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2526
9.08.2021 ,9.08.2021 21:03,Atlantis waterpark,HVAC KN2,Supply temp,C,S,25
9.08.2021 ,9.08.2021 21:04,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2823
9.08.2021 ,9.08.2021 21:04,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2849
