Building,Apartment,Heating (Kwh),DHW (Kwh),Date
Grupo Alonso Allende 26,0A,551,33.35,2018-09-01
Grupo Alonso Allende 26,0A,551,34.81,2018-10-01
Grupo Alonso Allende 26,0A,551,36.4,2018-11-01
Grupo Alonso Allende 26,0A,551,38.0,2018-12-01
Grupo Alonso Allende 26,0A,551,40.14,2019-01-01
Grupo Alonso Allende 26,0A,1235,42.21,2019-02-01
Grupo Alonso Allende 26,0A,1458,44.03,2019-03-01
Grupo Alonso Allende 26,0A,1504,45.94,2019-04-01
Grupo Alonso Allende 26,0A,1895,48.19,2019-05-01
