Data,Dia,Hora,BTN A,BTN B,BTN C,IP
2020-01-01,Quarta-feira,00:15,0.0217505,0.0296551,0.0373061,0.0612038
2020-01-01,Quarta-feira,00:30,0.0212629,0.0288444,0.0362628,0.0612038
2020-01-01,Quarta-feira,00:45,0.0208308,0.0281025,0.0351421,0.0612038
2020-01-01,Quarta-feira,01:00,0.0204629,0.0274415,0.0339514,0.0612038
2020-01-01,Quarta-feira,01:15,0.0200905,0.0267972,0.0327404,0.0612038
2020-01-01,Quarta-feira,01:30,0.0197036,0.0261702,0.0315543,0.0612038
2020-01-01,Quarta-feira,01:45,0.0193163,0.0256054,0.0303913,0.0612038
2020-01-01,Quarta-feira,02:00,0.0189591,0.0250438,0.029257,0.0612038
2020-01-01,Quarta-feira,02:15,0.0186218,0.0245097,0.0282062,0.0612038
