Building,Apartment,Heating (Kwh),DHW (Kwh),Date
Derechos Humanos 33,1A,1,0.41,2018-11-01
Derechos Humanos 33,1A,1,1.01,2019-03-01
Derechos Humanos 33,1A,1,1.56,2019-04-01
Derechos Humanos 33,1A,1,1.58,2019-06-01
Derechos Humanos 33,1A,1,1.58,2019-07-01
Derechos Humanos 33,1A,1,1.59,2019-08-01
Derechos Humanos 33,1A,1,1.59,2019-09-01
Derechos Humanos 33,1A,1,1.59,2019-10-01
Derechos Humanos 33,1A,1,1.59,2019-11-01
