Timestamp,CALD1_OreFunz,CALD2_OreFunz,PdC_OreFunz,RT1_OreFunz,UTA3_OreFunz
2020-05-01,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-02,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-03,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-04,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-05,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-06,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-07,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-08,240.59981,0.05331,2663.57788,38.06304,479.62973
2020-05-09,240.59981,0.05331,2663.57788,38.06304,479.62973
