Data, Produzida, Específica, CO2 Evitado
2020/11/1 9:00,11.25,0.06,0.0
2020/11/1 10:00,16.5,0.09,0.01
2020/11/1 11:00,18.25,0.11,0.01
2020/11/1 12:00,17.25,0.1,0.01
2020/11/1 13:00,27.25,0.16,0.01
2020/11/1 14:00,18.25,0.11,0.01
2020/11/1 15:00,14.5,0.08,0.01
2020/11/1 16:00,11.75,0.07,0.0
2020/11/1 17:00,3.25,0.02,0.0
